BSL Word,Japanese Translate,Pronunciation(IPA),Explanation
abolish,廃止,əˈbɑlɪʃ,
absorb,吸収する,əbˈzɔrb,
absorption,吸収,əbˈzɔrpʃən,
accelerate,加速する；促進する,ækˈsɛləˌreɪt,
acceptance,受け入れ,ækˈsɛptəns,
accessible,入手できる；行ける；気さくな,ækˈsɛsəbəl,
accommodate,収容できる；適応する,əˈkɑməˌdeɪt,
accomplishment,完成,əˈkɑmplɪʃmənt,
accordance,一致,əˈkɔrdəns,
accordingly,それに応じて,əˈkɔrdɪŋli,
accountability,"説明責任, 報告義務",əˈkaʊntəbɪlɪti,
accountable,責任,əˈkaʊntəbəl,
accountant,会計士,əˈkaʊntənt,
accrual,発生主義,əˈkruəl,
accrue,（利益・権利などが）増加する；生じる,əˈkru,
accumulate,累積,əˈkjumjəˌleɪt,
accumulation,累積,əˌkjumjəˈleɪʃən,
accuracy,正確さ,ˈækjərəsi,
accurately,正しく,ˈækjərətli,
accusation,告訴,ˌækjəˈzeɪʃən,
acid,酸,ˈæsəd,
acre,"エーカー； 土地, 所有地",ˈeɪkər,
actively,積極的に,ˈæktɪvli,
activist,活動家,ˈæktəvəst,
adequately,"十分に,適切に;そこそこに",ˈædəkwətli,
adhere,遵守する,ədˈhɪr,
administer,管理する；運営する；統治する,ədˈmɪnəstər,
administrative,行政の,ədˈmɪnəˌstreɪtɪv,
administrator,管理者,ədˈmɪnəˌstreɪtər,
admission,入場,ædˈmɪʃən,
adoption,可決,əˈdɑpʃən,
adverse,"不都合な,不利な；有害な；敵対的な；反対の",ædˈvɜrs,
advertiser,広告主,ˈædvərˌtaɪzər,
advisor,顧問,ædˈvaɪzər,
advisory,顧問,ædˈvaɪzəri,
affiliate,"系列組織；加入させる, 提携させる",əˈfɪliˌeɪt,
affordable,手頃な価格,əˈfɔrdəbəl,
afterward,その後,ˈæftərwərd,
aggregate,"集合(体), 集団；総計；集成岩；総計の, 総合の; 集合した；総計でC〈数量〉となる；集まる",ˈægrɪgɪt,動詞｜ -ɡèɪt｜(!〖名詞〗〖形容詞〗と〖動詞〗で発音が異なるので注意)
agriculture,農業,ˈægrɪˌkʌlʧər,
airport,空港,ˈɛrˌpɔrt,
alas,"嗚呼；残念ながら,悲しいことに.",əˈlæs,
albeit,とはいえ,ɔlˈbiɪt,
alert,警報,əˈlɜrt,
algorithm,アルゴリズム,ˈælgəˌrɪðəm,
align,一直線にする；提携する,əˈlaɪn,
alike,共に,əˈlaɪk,
allegation,申し立て,ˌæləˈgeɪʃən,
allegedly,伝えられるところでは,əˈlɛʤədli,
alliance,同盟；提携,əˈlaɪəns,
allocate,割り当てる,ˈæləˌkeɪt,
allocation,割り当て,ˌæləˈkeɪʃən,
allowance,手当,əˈlaʊəns,
alpha,アルファ；初めのもの,ˈælfə,
aluminum,アルミニウム,əˈlumənəm,
ambassador,大使,æmˈbæsədər,
ambition,野心,æmˈbɪʃən,
ambitious,野心的な,æmˈbɪʃəs,
amend,修正する,əˈmɛnd,
amid,の真ん中に；の最中に,əˈmɪd,
amongst,の間に,əˈmʌŋst,
amortization,償却,ˌæmərtɪˈzeɪʃən,
amortize,定期的に返済する,ˈæmərˌtaɪz,
analytic,分析,ˌænəˈlɪtɪk,
analytical,分析,ˌænəˈlɪtɪkəl,
anniversary,記念日,ˌænəˈvɜrsəri,
annualize,年間で〜になる；〜を年間で計算する,ˈænjuwəˌlaɪz,
annually,毎年,ˈænjuəli,
annuity,年金,əˈnuəti,
annum,年間,ˈænəm,
anti,反,ˈænti,
antitrust,独占禁止,ˌæntaɪˈtrʌst,
appetite,食欲,ˈæpəˌtaɪt,
apple,林檎,ˈæpəl,
appliance,器具,əˈplaɪəns,
applicable,適用できる；応用できる；効力がある；ふさわしい；該当する,ˈæpləkəbəl,
applicant,申請者,ˈæplɪkənt,
appraisal,鑑定,əˈpreɪzəl,
appreciation,感謝,əˌpriʃiˈeɪʃən,
appropriately,適当に,əˈproʊpriɪtli,
approximate,近似,əˈprɑksəmət,
approximation,近似値,əˌprɑksəˈmeɪʃən,
arbitrage,さや取り,ˈɑrbɪˌtrɑʒ,
arbitrary,任意,ˈɑrbəˌtrɛri,
arbitration,仲裁,ˌɑrbɪˈtreɪʃən,
architect,建築家,ˈɑrkəˌtɛkt,
archive,アーカイブ；古記録；保管する,ˈɑrˌkaɪv,
arguably,間違いなく,ˈɑrgjuəbli,
array,整列；配列；配置される,əˈreɪ,美しく並べられるときに使われる
artificial,人工的な,ˌɑrtəˈfɪʃəl,
aspect,側面,ˈæˌspɛkt,
assault,暴行,əˈsɔlt,
assemble,組み立てる,əˈsɛmbəl,
assembly,議会；集会；組み立て,əˈsɛmbli,
assert,主張する,əˈsɜrt,
assertion,主張；明言,əˈsɜrʃən,しばしば根拠のない主張につかわれる
assignment,割り当て,əˈsaɪnmənt,
assurance,保証,əˈʃʊrəns,
asylum,収容所,əˈsaɪləm,
atom,原子,ˈætəm,
attain,達成する,əˈteɪn,
attorney,代理人,əˈtɜrni,
attributable,(be)に起因すると思われて；せいと考えられていて,əˈtrɪbjətəbəl,
auction,競売,ˈɑkʃən,
audio,音声；オーディオ,ˈɑdiˌoʊ,
audit,監査,ˈɔdɪt,
auditor,監査役,ˈɔdɪtər,
authority,権限,əˈθɔrəti,
authorization,認定,ˌɔθərəˈzeɪʃən,
authorize,権威を与える；正式に許可する,ˈɔθəˌraɪz,
auto,オート；自動車,ˈɔtoʊ,
automate,自動化,ˈɔtəˌmeɪt,
automatic,自動式の；機械的な,ˌɔtəˈmætɪk,
automobile,自動車,ˈɔtəmoʊˌbil,
autonomous,自主的な,ɔˈtɑnəməs,
autonomy,自治,ɔˈtɑnəmi,
availability,可用性,əˌveɪləˈbɪləti,
averse,嫌って；気が進まなくて；反対して,əˈvɜrs,
aversion,嫌悪,əˈvɜrʒən,
aviation,"航空；飛行術,航空学；航空機産業",ˌeɪviˈeɪʃən,
await,待つ,əˈweɪt,
awkward,気まずい；ぎこちない,ˈɑkwərd,
axis,軸,ˈæksəs,
backward,後方,ˈbækwərd,
bail,寄託,beɪl,
ballot,票,ˈbælət,
banker,銀行家,ˈbæŋkər,
bankrupt,破産,ˈbæŋkrəpt,
bankruptcy,倒産,ˈbæŋkrəptsi,
bargain,格安品；掘り出し物；交渉する,ˈbɑrgən,
barrel,たる,ˈbærəl,
baseball,野球,ˈbeɪsˈbɔl,
baseline,基準線,ˈbeɪˌslaɪn,
basket,バスケット；かご,ˈbæskət,
batch,バッチ；一群,bæʧ,
battery,電池,ˈbætəri,
beam,ビーム；光の筋,bim,
beef,牛肉,bif,
behalf,味方；利益；(on ~ of A)Aの代理で,bɪˈhæf,
behavioral,行動,bɪˈheɪvjərəl,
benchmark,基準,ˈbɛnʧˌmɑrk,
beneficial,有益,ˌbɛnəˈfɪʃəl,
beneficiary,受益者,ˌbɛnəˈfɪʃiˌɛri,
beta,ベータ,ˈbeɪtə,
beverage,飲み物,ˈbɛvərɪʤ,
bidder,入札者,ˈbɪdər,
bilateral,二国間,baɪˈlætərəl,
biography,伝記；経歴,baɪˈɑgrəfi,
bitter,苦い,ˈbɪtər,
blank,無表情な；空白の,blæŋk,
blast,爆風,blæst,
blend,混ぜ合わせる；組み合わせる,blɛnd,
blog,ブログ,blɔg,
boast,自慢,boʊst,
