afterward,その後,ˈæftərwərd,副詞(adv)
amongst,～の間に；～の中の,əˈmʌŋst,前置詞(prep.)
artistic,芸術的な,ɑrˈtɪstɪk,形容詞(adj.)
backward,後ろへ,ˈbækwərd,副詞(adv)
bodily,身体の,ˈbɑdəli,副詞(adv)
carrier,運送業；航空会社；電話会社,ˈkæriər,名詞(n.)
collective,収集された； 集団の,kəˈlɛktɪv,形容詞(adj.)
computation,計算,ˌkɑmpjəˈteɪʃən,名詞(n.)
continuity,継続性,ˌkɑntəˈnuəti,名詞(n.)
definite,明確な；限定的な,ˈdɛfənət,形容詞(adj.)
freely,自由に,ˈfrili,副詞(adv)
generalization,一般化；一般概念,ˌʤɛnərəlɪˈzeɪʃən,名詞(n.)
generalize,一般化する,ˈʤɛnərəˌlaɪz,動詞(verb)
goodness,よいこと,ˈgʊdnəs,名詞(n.)
historically,歴史的に,hɪˈstɔrɪkəli,副詞(adv)
importantly,重要なことには,ɪmˈpɔrtəntli,副詞(adv)
interestingly,興味深いことに,ˈɪntəˌrɛstɪŋli,副詞(adv)
locally,局所的に；地元で,ˈloʊkəli,形容詞(adj.)
machinery,機械,məˈʃinəri,名詞(n.)
marker,標識；マーカー ,ˈmɑrkər,名詞(n.)
meaningful,意味のある,ˈminɪŋfəl,形容詞(adj.)
namely,すなわち；つまり,ˈneɪmli,副詞(adv)
nationalism,国家主義,ˈnæʃənəˌlɪzəm,名詞(n.)
neat,きちんとした,nit,形容詞(adj.)
nicely,うまく；よく,ˈnaɪsli,副詞(adv)
noisy,やかましい；派手な ,ˈnɔɪzi,形容詞(adj.)
outer,外側の；中心から遠くにある,ˈaʊtər,形容詞(adj.)
painful,痛い,ˈpeɪnfəl,形容詞(adj.)
pardon,何とおっしゃいましたか？,ˈpɑrdən,動詞(verb)
parental,親の,pəˈrɛntəl,形容詞(adj.)
partial,部分的な；不公平な,ˈpɑrʃəl,形容詞(adj.)
partially,部分的に；不公平に,ˈpɑrʃəli,副詞(adv)
photographic,写真の,ˌfoʊtəˈgræfɪk,形容詞(adj.)
planner,手帳；ノート,ˈplænər,名詞(n.)
problematic,問題のある,ˌprɑbləˈmætɪk,形容詞(adj.)
readily,容易に,ˈrɛdəli,副詞(adv)
realism,現実主義,ˈriəlɪzm,名詞(n.)
realistic,現実的な,ˌriəˈlɪstɪk,形容詞(adj.)
rewrite,書き直す,riˈraɪt,動詞(verb)
ruler,支配者；統治者,ˈrulər,名詞(n.)
sexuality,性的特質,ˌsɛkʃuˈæləti,名詞(n.)
simplify,簡素化する,ˈsɪmpləˌfaɪ,動詞(verb)
sometime,いつか,ˈsʌmˌtaɪm,形容詞(adj.)
specialty,専門；特殊；名物,ˈspɛʃəlti,名詞(n.)
subset,少派,ˈsʌbˌsɛt,名詞(n.)
supposedly,たぶん,səˈpoʊzədli,副詞(adv)
systematic,体系的な；組織的な,ˌsɪstəˈmætɪk,形容詞(adj.)
terribly,ひどく,ˈtɛrəbli,副詞(adv)
thickness,厚さ,ˈθɪknəs,名詞(n.)
underneath,下に,ˌʌndərˈniθ,副詞(adv)
unemployed,失業した，失業者,ˌʌnɛmˈplɔɪd,形容詞(adj.)
whichever,どちらの～でも,wɪˈʧɛvər,限定詞(det.)
whoever,誰が～しようとも；一体誰が～；～する人は誰でも,huˈɛvər,代名詞(pron.)
accent,訛り；強調,ˈæksɛnt,名詞(n.)
actively,積極的に,ˈæktɪvli,副詞(adv)
adaptation,適応,ˌædəpˈteɪʃən,名詞(n.)
adaptive,適応性のある,əˈdæptɪv,形容詞(adj.)
apple,りんご,ˈæpəl,名詞(n.)
authority,権力者； 権限者,əˈθɔrəti,名詞(n.)
availability,可用性；利用可能,əˌveɪləˈbɪləti,名詞(n.)
bang,たたく；ぶつける,bæŋ,動詞(verb)
bat,バット,bæt,名詞(n.)
blank,空白,blæŋk,形容詞(adj.)
bleed,出血する,blid,動詞(verb)
bound,縛られた,baʊnd,動詞(verb)
broadly,広く,ˈbrɔdli,副詞(adv)
bucket,バケツ,ˈbʌkət,名詞(n.)
calculation,計算,ˌkælkjəˈleɪʃən,名詞(n.)
calculator,計算機,ˈkælkjəˌleɪtər,名詞(n.)
characterization,特徴付けること,ˌkɛrəktərɪˈzeɪʃən,名詞(n.)
cheat,だます,ʧit,動詞(verb)
cheers,乾杯,ʧɪrz,名詞(n.)
clever,利口な,ˈklɛvər,形容詞(adj.)
clip,クリップ；切り抜き，切り抜く,klɪp,名詞(n.)
clue,手がかり,klu,名詞(n.)
commentary,論評；注釈；記録,ˈkɑmənˌtɛri,名詞(n.)
commonly,一般に,ˈkɑmənli,副詞(adv)
comparable,比較できる；同等な,ˈkɑmpərəbəl,形容詞(adj.)
complication,合併症,ˌkɑmpləˈkeɪʃən,名詞(n.)
conditional,条件付きの,kənˈdɪʃənəl,形容詞(adj.)
connector,コネクタ,kəˈnɛktər,名詞(n.)
conscious,意識している,ˈkɑnʃəs,形容詞(adj.)
consciousness,意識,ˈkɑnʃəsnəs,名詞(n.)
container,容器,kənˈteɪnər,名詞(n.)
correction,訂正,kəˈrɛkʃən,名詞(n.)
correctly,正しく,kəˈrɛktli,副詞(adv)
cure,治療，治療する,kjʊr,名詞(n.)
detection,発見；検出,dɪˈtɛkʃən,名詞(n.)
developmental,発達上の,dɪˌvɛləpˈmɛntəl,形容詞(adj.)
directive,指令；指示の,dəˈrɛktɪv,名詞(n.)
disturbance,騒乱；妨害,dɪˈstɜrbəns,名詞(n.)
economically,経済的に,ˌɛkəˈnɑmɪkli,副詞(adv)
economist,経済学者,ɪˈkɑnəmɪst,名詞(n.)
enormously,非常に,ɪˈnɔrməsli,副詞(adv)
equality,平等,ɪˈkwɑləti,名詞(n.)
flip,反転する；はじく,flɪp,名詞(n.)
ghost,幽霊,goʊst,名詞(n.)
hedge,生け垣；防衛,hɛʤ,名詞(n.)
identification,確認；識別；身分証明書,aɪˌdɛntəfəˈkeɪʃən,名詞(n.)
incredible,信じられない,ɪnˈkrɛdəbəl,形容詞(adj.)
incredibly,信じられないほど,ɪnˈkrɛdəbli,副詞(adv)
indicator,測定器；指針,ˈɪndəˌkeɪtər,名詞(n.)
individually,個別に,ˌɪndɪˈvɪʤuəli,副詞(adv)
industrialization,工業化,ɪnˌdʌstriəlɪˈzeɪʃən,名詞(n.)
industrialize,工業化する,ɪnˈdʌstriəˌlaɪz,動詞(verb)
inequality,不平等,ˌɪnɪˈkwɑləti,名詞(n.)
influential,影響力のある,ˌɪnfluˈɛnʧəl,形容詞(adj.)
instability,不安定,ˌɪnstəˈbɪlɪti,名詞(n.)
intensity,激しさ；強度,ɪnˈtɛnsəti,名詞(n.)
intensive,激しい；集中的な,ɪnˈtɛnsɪv,形容詞(adj.)
