ability,能力,əˈbɪləti,名詞(n.),
able,〜することができる,ˈeɪbəl,形容詞(adj.),
about,～について,əˈbaʊt,前置詞(prep.),
above,〜の上に,əˈbʌv,副詞(adv),
absolute,絶対的な；完全な,ˈæbsəˌlut,形容詞(adj.),
absolutely,完全に,ˌæbsəˈlutli,副詞(adv),
accept,受け入れる；受け取る,ækˈsɛpt,動詞(verb),
acceptable,許容できる,ækˈsɛptəbəl,形容詞(adj.),
account,(預金)口座,əˈkaʊnt,名詞(n.),
across,横切って；交差して,əˈkrɔs,副詞(adv),
act,行動する,ækt,動詞(verb),
action,行動,ˈækʃən,名詞(n.),
actual,実際の,ˈækʧuəl,形容詞(adj.),
actually,実際は,ˈækʧuəli,副詞(adv),
add,加える,æd,動詞(verb),
addition,追加,əˈdɪʃən,名詞(n.),
additional,追加の,əˈdɪʃənəl,形容詞(adj.),
address,住所； アドレス,ˈæˌdrɛs,名詞(n.),
admit,認める,ədˈmɪt,動詞(verb),
advertise,宣伝する,ˈædvərˌtaɪz,動詞(verb),
advertisement,広告,ədˈvɜrtəzmənt,名詞(n.),
afford,～する余裕がある,əˈfɔrd,動詞(verb),
afraid,怖がって,əˈfreɪd,形容詞(adj.),
after,～後で；～を追って,ˈæftər,副詞(adv),
afternoon,午後,ˌæftərˈnun,名詞(n.),
again,再び；その上,əˈgɛn,副詞(adv),
against,～に反対して,əˈgɛnst,前置詞(prep.),
age,年齢,eɪʤ,名詞(n.),
ago,～前に,əˈgoʊ,副詞(adv),
agree,同意する；一致する；合う,əˈgri,動詞(verb),
agreement,合意；協定；一致,əˈgrimənt,名詞(n.),
ahead,前方に；先に,əˈhɛd,副詞(adv),
air,空気,ɛr,名詞(n.),
all,すべて,ɔl,副詞(adv),
allow,許可する,əˈlaʊ,動詞(verb),
almost,ほとんど,ˈɔlˌmoʊst,副詞(adv),
alone,独りで；ただ～だけ,əˈloʊn,副詞(adv),
along,～に沿って,əˈlɔŋ,前置詞(prep.),
already,すでに,ɔlˈrɛdi,副詞(adv),
alright,申し分ない；大丈夫である；了解した,ˌɔlˈraɪt,副詞(adv),
also,～もまた；同様に；その上,ˈɔlsoʊ,副詞(adv),
although,〜だけれども,ˌɔlˈðoʊ,接続詞(conj.),
always,いつも,ˈɔlˌweɪz,副詞(adv),
amaze,びっくりさせる,əˈmeɪz,動詞(verb),
among,〜の間に；～の中の,əˈmʌŋ,前置詞(prep.),
amount,量；総計，合計に達する；結局～なる,əˈmaʊnt,名詞(n.),
and,～と・・・,ænd,接続詞(conj.),
angry,腹を立てている,ˈæŋgri,形容詞(adj.),
animal,動物,ˈænəməl,名詞(n.),
another,もう一つの；別の,əˈnʌðər,限定詞(det.),
answer,答え,ˈænsər,名詞(n.),
any,（疑問文で）何か；いくらか，（否定文で）どれも；少しも，（肯定文で）どれでも,ˈɛni,限定詞(det.),
anybody,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,ˈɛnibədi,代名詞(pron.),
anymore,もはやこれ以上～しない,ˌɛniˈmɔr,副詞(adv),
anyone,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,ˈɛniˌwʌn,代名詞(pron.),
anything,（疑問文で）何か，（否定文で）何も，（肯定文で）何でも,ˈɛniˌθɪŋ,名詞(n.),
anyway,とにかく；いずれにせよ,ˈɛniˌweɪ,副詞(adv),
anywhere,（疑問文で）どこかへ，（否定文で）どこにも，（肯定文で）どこでも,ˈɛniˌwɛr,副詞(adv),
apart,離れて；別々に,əˈpɑrt,副詞(adv),
apparent,明白な,əˈpɛrənt,形容詞(adj.),
apparently,明白に；見掛けは,əˈpɛrəntli,副詞(adv),
appear,現れる,əˈpɪr,動詞(verb),
appearance,外観；出現；状況,əˈpɪrəns,名詞(n.),
area,地域；場所,ˈɛriə,名詞(n.),
arm,腕,ɑrm,名詞(n.),
around,～の周りに,əˈraʊnd,副詞(adv),
arrival,到着,əˈraɪvəl,名詞(n.),
