acceptance,受け入れ,ækˈsɛptəns
actress,女優,ˈæktrəs
additionally,さらに,əˈdɪʃənəli
advertiser,広告主,ˈædvərˌtaɪzər
affordable,手頃な価格,əˈfɔrdəbəl
afterward,その後,ˈæftərwərd
anyhow,どうせ,ˈɛniˌhaʊ
anytime,どんなときも,ˈɛniˌtaɪm
artistic,芸術的,ɑrˈtɪstɪk
baggage,荷物,ˈbægəʤ
banker,銀行家；胴元,ˈbæŋkər
beginner,初心者,bɪˈgɪnər
booklet,冊子,ˈbʊklɪt
born,生まれ,bɔrn
bye,さよなら,baɪ
caller,呼び出し側,ˈkɔlər
careless,不注意な,ˈkɛrləs
carrier,運搬人；運送業者；使者,ˈkæriər
cleaner,掃除をする人,ˈklinər
cleanliness,清潔,ˈklɛnlinɪs
collector,収集者；集金人,kəˈlɛktər
colorful,色彩に富んだ；華やかな,ˈkʌlərfəl
comfortably,楽に,ˈkʌmfərtəbli
completion,完了,kəmˈpliʃən
cooler,冷却器；冷たい清涼飲料,ˈkulər
costly,高価な,ˈkɑstli
dealership,販売権；販売代理店,ˈdilərˌʃɪp
definite,"明確な, はっきりとした; 正確な",ˈdɛfənət
delicious,おいしい,dɪˈlɪʃəs
dependable,信頼できる；頼みになる,dɪˈpɛndəbəl
dislike,嫌い,dɪˈslaɪk
enjoyable,楽しい,ɛnˈʤɔɪəbəl
explanatory,説明的,ɪkˈsplænəˌtɔri
finalize,完成させる；終了させる,ˈfaɪnəˌlaɪz
fitness,適合；健康,ˈfɪtnəs
flyer,チラシ,ˈflaɪər
fortunately,幸運なことに,ˈfɔrʧənətli
gardener,植木屋,ˈgɑrdənər
generalization,一般化,ˌʤɛnərəlɪˈzeɪʃən
heater,発熱器；ヒーター,ˈhitər
homeless,ホームレス,ˈhoʊmləs
honestly,正直,ˈɑnəstli
hourly,毎時,ˈaʊrli
hungry,空腹の,ˈhʌŋgri
icy,氷の；氷のような；氷の張った；冷淡な,ˈaɪsi
incomplete,不完全な,ɪnkəmˈplit
indoor,屋内,ˈɪnˌdɔr
inexpensive,安価な,ˌɪnɪkˈspɛnsɪv
inexperience,未経験,ˌɪnɪkˈspɪriəns
internet,インターネット,ˈɪntərˌnɛt
lately,近頃,ˈleɪtli
locally,場所の上から；局所的に,ˈloʊkəli
loudly,大声で,ˈlaʊdli
machinery,機械,məˈʃinəri
managerial,経営者の,ˌmænɪˈʤɪriəl
meaningful,重要,ˈminɪŋfəl
mileage,総マイル数；走行距離,ˈmaɪləʤ
mislead,誤解,mɪsˈlid
mister,さん；だんな；あなた,ˈmɪstər
nationwide,全国の,ˈneɪʃənˈwaɪd
neat,すっきり,nit
noisy,うるさい,ˈnɔɪzi
outdoor,アウトドア,ˈaʊtˌdɔr
painter,画家,ˈpeɪntər
partial,部分的,ˈpɑrʃəl
partially,部分的に,ˈpɑrʃəli
payable,支払う必要のある；支払い可能な；支払われる,ˈpeɪəbəl
photographer,写真家,fəˈtɑgrəfər
photography,写真術,fəˈtɑgrəfi
placement,配置,ˈpleɪsmənt
planner,プランナー,ˈplænər
poorly,不完全に,ˈpurli
postage,送料,ˈpoʊstəʤ
postal,"郵便(局)の, 郵便による",ˈpoʊstəl
pottery,陶器,ˈpɑtəri
presenter,発表者；賞の授与を行う人；司会者,ˈprɛzəntər
probable,ありそう,ˈprɑbəbəl
programmer,プログラマー,ˈproʊˌgræmər
protective,"保護する, 防護用の",prəˈtɛktɪv
quarterly,季刊,ˈkwɔrtərli
rainy,雨の,ˈreɪni
realistic,現実的,ˌriəˈlɪstɪk
reconsider,考え直す,ˌrikənˈsɪdər
renew,更新する；再開する,rɪˈnu
renewal,更新；再開；書き換え,rɪˈnuəl
rental,賃貸料；賃貸のできる,ˈrɛntəl
reopen,再開する,riˈoʊpən
rewrite,書き直す；改正する,riˈraɪt
rider,乗る人；添書き；付加条件,ˈraɪdər
rose,バラ；バラ色,roʊz
runner,走る人；運び屋；逃亡者,ˈrʌnər
safely,安全に,ˈseɪfli
seller,売り手,ˈsɛlər
sender,送信者,ˈsɛndər
shipment,出荷,ˈʃɪpmənt
shopper,消費者,ˈʃɑpər
shortage,不足,ˈʃɔrtəʤ
shorten,短くする；減じる；弱める,ˈʃɔrtən
simplify,簡素化する,ˈsɪmpləˌfaɪ
sleepy,眠い；眠そうな；活気のない,ˈslipi
snowy,"雪に覆われた, 雪の降る,雪のように白い",ˈsnoʊi
sometime,いつか,ˈsʌmˌtaɪm
spacious,広々とした,ˈspeɪʃəs
specially,特別,ˈspɛʃəli
specialty,専門,ˈspɛʃəlti
sticker,ステッカー；粘り強い人；突く人；難問,ˈstɪkər
sunny,日のよく照る；日のよく当たる；明るい,ˈsʌni
sunshine,日光,ˈsʌnˌʃaɪn
tablecloth,テーブルクロス,ˈteɪbəlˌklɔθ
taker,受け手,ˈteɪkər
tasty,おいしい,ˈteɪsti
thirsty,喉が渇いた,ˈθɜrsti
timely,タイミングの良い,ˈtaɪmli
timer,タイマー,ˈtaɪmər
trainee,研修生,ˈtreɪˈni
trainer,トレーナー,ˈtreɪnər
traveler,旅行者,ˈtrævələr
uncomfortable,不快な,ənˈkʌmfərtəbəl
unemployed,失業者,ˌʌnɛmˈplɔɪd
unexpected,予想外,ˌʌnɪkˈspɛktɪd
unhappy,不幸,ənˈhæpi
unload,降ろす；売り払う；(カメラ・銃)から弾丸やフィルムを抜く,ənˈloʊd
unnecessary,不要,ənˈnɛsəˌsɛri
unpaid,未払い,ənˈpeɪd
unreal,非現実的な,ənˈril
unsure,"確信がない, 不確かな; 信頼できない.",ənˈʃʊr
unused,未使用,ənˈjuzd
unusually,異常,ənˈjuʒˌuəli
whoever,誰でも,huˈɛvər
willingness,意欲,ˈwɪlɪŋnəs
windy,風の強い；強い風の吹く；中身のない; 大げさな.,ˈwɪndi
yearly,毎年,ˈjɪrli
accent,特徴的な発音；なまり；強勢；強調点；強調する,ˈæksɛnt
accessible,入手できる；手が届く；行ける,ækˈsɛsəbəl
accordingly,それに応じて,əˈkɔrdɪŋli
actively,積極的に,ˈæktɪvli
adapter,アダプタ；脚色家,əˈdæptər
advisable,お勧め,ədˈvaɪzəbəl
advisor,顧問,ædˈvaɪzər
advisory,顧問,ædˈvaɪzəri
amuse,楽しませます,əmˈjuz
announcer,アナウンサー,əˈnaʊnsər
annoy,いらいらさせます,əˈnɔɪ
apple,林檎,ˈæpəl
appreciation,感謝,əˌpriʃiˈeɪʃən
asleep,眠っています,əˈslip
assurance,保証,əˈʃʊrəns
attendant,係員,əˈtɛndənt
attendee,出席者,əˈtɛnˈdi
authority,権限,əˈθɔrəti
automatic,自動の；無意識の,ˌɔtəˈmætɪk
availability,可用性,əˌveɪləˈbɪləti
bake,焼く,beɪk
baker,焼く人；パン職人；小型オーブン,ˈbeɪkər
bakery,製パン所；パン屋,ˈbeɪkəri
basket,かご；バスケット；集まり,ˈbæskət
battery,電池,ˈbætəri
bean,豆,bin
blanket,毛布,ˈblæŋkət
brake,制動器；抑制；ブレーキをかける,breɪk
broaden,広げる,ˈbrɔdən
bug,虫；熱中；欠陥；悩ます,bʌg
butter,バター；おべっか,ˈbʌtər
cage,かご；おり；収容所；カゴに入れておく,keɪʤ
calculation,計算,ˌkælkjəˈleɪʃən
calculator,電卓,ˈkælkjəˌleɪtər
captain,キャプテン,ˈkæptən
cart,カート；手押し車；運ぶ；移動させる,kɑrt
